name;image_name;window_size;sigma;dmin;imscale;time;ssd;ssim;ncc
iterative;baby1;7;5;200;1;1;955.705;0.923202;30.647
naive;cloth1;3;5;200;1;0;292.109;0.96382;41.146
iterative;cloth1;3;5;200;1;0;320.851;0.967059;41.3498
naive;cloth1;5;5;200;1;1;498.641;0.949049;40.3091
iterative;cloth1;5;5;200;1;1;516.595;0.950226;40.3932
naive;cloth1;7;5;200;1;2;709.672;0.924964;39.1987
iterative;cloth1;7;5;200;1;2;725.166;0.925915;39.2433
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;5;5;200;1;1;739.546;0.888818;46.8571
iterative;cones1;5;5;200;1;1;698.834;0.896927;47.0145
naive;cones1;7;5;200;1;1;1079.51;0.846845;44.9962
iterative;cones1;7;5;200;1;1;1055.34;0.853006;45.0937
naive;cones1;11;5;200;1;2;1721.11;0.788014;42.004
iterative;cones1;11;5;200;1;2;1693.79;0.798161;42.1721
naive;flowerpots1;3;5;200;1;0;1146.06;0.923997;51.9343
iterative;flowerpots1;3;5;200;1;0;1346.56;0.92313;52.0475
naive;flowerpots1;5;5;200;1;0;1637.45;0.900797;50.8011
iterative;flowerpots1;5;5;200;1;0;1864.84;0.898034;50.6614
naive;flowerpots1;7;5;200;1;1;2237.24;0.861766;49.0551
iterative;flowerpots1;7;5;200;1;1;2419.01;0.86181;49.0324
naive;flowerpots1;11;5;200;1;1;3118.06;0.818213;46.5763
